--------------------------------------------------------------------
| pred                                                 | frequency |
| <http://lsq.aksw.org/res/q-be80b000-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-be80b000-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-c1c97293-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-c1c97293-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-c1e3198a-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-c1e3198a-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-c39822bc-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-c72e8e0c-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-c72e8e0c-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-c96fde62-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-c96fde62-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-cc09c3ab-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-cd64e2c1-var-o>           | 1         |
| <http://lsq.aksw.org/res/q-ce95bbeb-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-cf2da38b-var-prop>        | 1         |
| <http://lsq.aksw.org/res/q-cf56e10d-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-cf56e10d-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-d3543a34-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-d67c1fef-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-d67c1fef-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-d6c9879f-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-d994a649-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-d994a649-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-d9eabd36-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-d9eabd36-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-db33ac76-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-dbe94ead-var-pred>        | 1         |
| <http://lsq.aksw.org/res/q-e1137c3d-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-e1137c3d-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-e9695f88-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-e9695f88-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-ea4432e8-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-eaeb4ca6-var-property>    | 1         |
| <http://lsq.aksw.org/res/q-ec6260fa-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-ec6260fa-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-ed93c982-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-ed93c982-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-eef89889-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-eef89889-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-f11fdf94-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-f11fdf94-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-f2b0b8f6-var-p>           | 1         |
| <http://lsq.aksw.org/res/q-f2e5258a-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-f2e5258a-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-f7d510f4-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-f7d510f4-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-f9b27d7b-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-f9b27d7b-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-fd0c0d4c-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-fd0c0d4c-var-po>          | 1         |
| <http://lsq.aksw.org/res/q-fe307937-var-pi>          | 1         |
| <http://lsq.aksw.org/res/q-fe307937-var-po>          | 1         |
--------------------------------------------------------------------
